student_id,department,employment_status,industry,salary,company,open_response
STU2024001,Computer Science,Employed Full-time,Technology,95000,Google,"The technical interview prep resources on campus were invaluable. Mock interviews with alumni helped me secure multiple offers."
STU2024002,comp sci,Employed Full-time,tech,88000,Microsoft,"My internship converted to a full-time offer. Building a strong GitHub portfolio was the most important thing I did junior year."
STU2024003,Business,Employed Full-time,Finance,72000,JP Morgan Chase,"The career fair directly connected me with my employer. I strongly recommend the salary negotiation workshop to every senior."
STU2024004,CS,Employed Full-time,Software,105000,Meta,"Networking with alumni through LinkedIn was critical. I had coffee chats with ten people before my first interview."
STU2024005,Data Science,Employed Full-time,Technology,98000,Salesforce,"The data structures course prepared me well. I wish there had been more focus on system design earlier in the curriculum."
STU2024006,Mechanical Engineering,Employed Full-time,Manufacturing,78000,Boeing,"Co-op program gave me real-world experience that made me competitive. I had an offer before graduation."
STU2024007,Business Administration,Graduate School,Education,,,"I chose grad school after struggling to find roles that matched my interests. The advising center helped me research MBA programs."
STU2024008,mech eng,Employed Full-time,Manufacturing,82000,Lockheed Martin,"The senior capstone project directly impressed my interviewer. Practical engineering experience makes a huge difference."
STU2024009,Biology,Graduate School,Healthcare,,,"My research experience in the lab was critical for PhD admissions. I'm pursuing biomedical research at a top program."
STU2024010,Econ,Employed Full-time,Finance,68000,Goldman Sachs,"Internship during junior summer led directly to full-time role. The alumni network at financial firms is extremely active."
STU2024011,Psychology,Seeking Employment,Healthcare,,,I am still searching for the right clinical role. The job market for psychology graduates requires licensure which takes time.
STU2024012,Data Sci,Employed Full-time,Technology,92000,Amazon,"Machine learning skills from the graduate-level elective gave me an edge. Kaggle competitions also helped build my portfolio."
STU2024013,Business,Employed Part-time,Consulting,45000,Deloitte,"I started part-time consulting while completing my CPA exam. The work-life balance in consulting is challenging but the mentorship is excellent."
STU2024014,Nursing,Employed Full-time,Healthcare,71000,Mayo Clinic,"The clinical rotations prepared me completely for the workforce. I had job offers from three hospital systems before graduation."
STU2024015,Electrical Engineering,Employed Full-time,Technology,96000,Intel,"My FPGA project in senior year caught the recruiter's attention during a technical interview. Hands-on coursework is critical."
STU2024016,Communications,Employed Full-time,Media,58000,NBC Universal,"I interned at the company two summers in a row and received a full-time offer. Persistence and networking were essential."
STU2024017,comp sci,Graduate School,Technology,,,"I chose a master's program to deepen expertise in AI. Industry moves so fast that more education felt necessary for long-term career growth."
STU2024018,Math,Employed Full-time,Finance,88000,Two Sigma,"Quantitative skills from mathematics made me competitive for trading roles. The probability and statistics courses were most relevant."
STU2024019,Biology,Employed Full-time,Biotech,67000,Genentech,"Lab skills and research publications were essential for this role. Networking at scientific conferences led to my referral."
STU2024020,Business,Employed Full-time,Consulting,76000,McKinsey,"Case interview preparation was the most critical part of my job search. The career center's consulting prep workshops were excellent."
STU2024021,Psych,Not Seeking,Education,,,I am taking time off before pursuing a doctorate in clinical psychology. I volunteered at a mental health clinic to build experience.
STU2024022,Elec Eng,Employed Full-time,Technology,91000,Qualcomm,"Embedded systems and signal processing coursework directly applies to my daily work. Industry certifications also helped."
STU2024023,Economics,Employed Full-time,Government,62000,Federal Reserve Bank,"Public service was always my goal. The economics department's connections to policy organizations helped me find this role."
STU2024024,Statistics,Employed Full-time,Technology,94000,Netflix,"Statistical modeling skills are highly valued in tech. The data science program here has strong industry connections."
STU2024025,Computer Science,Employed Full-time,Technology,110000,Apple,"Competitive programming experience was discussed in every interview I had. I recommend LeetCode practice starting freshman year."
STU2024026,Business Admin,Seeking Employment,Retail,,,"The retail industry is more competitive than I expected. I am improving my digital marketing skills while searching for the right opportunity."
STU2024027,Mechanical Engineering,Employed Full-time,Consulting,84000,Accenture,"Engineering consulting bridges technical skills with business impact. The breadth of problems I solve every week is energizing."
STU2024028,Data Science,Employed Full-time,Healthcare,89000,Epic Systems,"Health informatics is a growing field with excellent opportunities. The combination of data skills and domain knowledge is rare."
STU2024029,Communications,Employed Part-time,Nonprofit,38000,Teach For America,"Working in education is deeply meaningful. I plan to pursue a master's in education policy after my two-year commitment."
STU2024030,Biology,Seeking Employment,Healthcare,,,Laboratory positions are highly competitive. I am pursuing additional certifications and expanding my geographic search area.
STU2024031,Computer Science,Employed Full-time,Finance,115000,Citadel,"Fintech requires both strong programming and quantitative reasoning. Algorithmic trading interviews are more rigorous than typical software roles."
STU2024032,Accounting,Employed Full-time,Finance,65000,KPMG,"The CPA exam prep resources available through the business school were outstanding. Big four experience opens many doors."
STU2024033,Nursing,Employed Full-time,Healthcare,69000,Johns Hopkins Medicine,"Clinical experience during rotations was directly transferable to the job. New grad residency programs provide excellent structured training."
STU2024034,comp sci,Employed Full-time,Technology,99000,Stripe,"Fintech companies move fast and expect strong fundamentals. Contributing to open source projects before graduation was very helpful."
STU2024035,Statistics,Graduate School,Technology,,,"I am pursuing a PhD in computational statistics. The research opportunities and faculty mentorship here prepared me well for doctoral work."
STU2024036,Mechanical Engineering,Not Seeking,,,,"Taking a gap year to travel before starting my career. I have a deferred offer from an aerospace company starting in the fall."
STU2024037,Business,Employed Full-time,Media,61000,Disney,"Entertainment industry is competitive but passion drives success. Starting in a rotational program gave me broad exposure to the company."
STU2024038,Computer Science,Employed Full-time,Technology,102000,LinkedIn,"The connections I made through university recruiting events directly led to my offer. LinkedIn is an extremely welcoming company for new graduates."
STU2024039,Econ,Graduate School,Finance,,,"I am pursuing a master's in financial economics to strengthen my quantitative background before entering investment banking."
STU2024040,Psychology,Employed Full-time,Consulting,59000,Bain & Company,"Behavioral consulting draws heavily on psychology fundamentals. The analytical and communication skills from my major transfer well."
STU2024041,Data Science,Employed Full-time,Technology,96000,Palantir,"Data engineering skills combined with domain knowledge make you very competitive. The capstone project I led was my strongest interview asset."
STU2024042,Nursing,Employed Full-time,Healthcare,73000,Cleveland Clinic,"High demand for nurses meant I had multiple offers. Specializing in critical care nursing increased my starting salary significantly."
STU2024043,comp sci,Employed Full-time,Technology,88000,Oracle,"Enterprise software may not be glamorous but the stability and compensation are excellent. My database coursework was directly relevant."
STU2024044,Business Administration,Employed Full-time,Nonprofit,52000,United Way,"Mission-driven work requires accepting lower compensation but the fulfillment is immense. Nonprofit sector experience is highly transferable."
STU2024045,Electrical Engineering,Seeking Employment,Technology,,,My job search is ongoing after two rounds at several semiconductor companies. I am building embedded systems projects to strengthen my portfolio.
STU2024046,Mathematics,Employed Full-time,Finance,91000,Jane Street,"Mathematical rigor is taken to an extreme level in quantitative trading. Linear algebra and probability courses were the most valuable."
STU2024047,Biology,Employed Full-time,Biotech,64000,Pfizer,"Entry-level research roles in pharma are competitive. Publishing undergraduate research helped differentiate me from other candidates."
STU2024048,Communications,Graduate School,Media,,,"Pursuing a master's in journalism to deepen storytelling skills. Digital media is evolving rapidly and advanced training is important."
STU2024049,Computer Science,Employed Full-time,Technology,$112000,Uber,"Distributed systems knowledge was specifically asked about in my interviews. The systems programming course here is excellent preparation."
STU2024050,Accounting,Graduate School,Finance,,,"Preparing for the CPA exam while enrolled in a master's program. Public accounting firms sponsor many graduate students in this program."
STU2024051,Statistics,Employed Full-time,Technology,87000,Twitter,"Statistical inference and A/B testing knowledge is directly applied daily. The industry is volatile but skills are highly portable."
STU2024052,Psychology,Employed Part-time,Healthcare,42000,Community Mental Health Center,"Clinical hours required for licensure take time to accumulate. Part-time work while completing supervised hours is a common path."
STU2024053,comp sci,Employed Full-time,Technology,94000,Adobe,"Creative technology companies offer interesting problems at the intersection of engineering and design. Team culture fit matters as much as skills."
