Contact_External_ID__c,Academic_Department__c,Employment_Status__c,Industry__c,Starting_Salary__c,Employer__c,Career_Feedback__c
STU2024001,Computer Science,Employed Full-time,Technology,95000.0,Google,"The technical interview prep resources on campus were invaluable. Mock interviews with alumni helped me secure multiple offers."
STU2024002,Computer Science,Employed Full-time,Technology,88000.0,Microsoft,"My internship converted to a full-time offer. Building a strong GitHub portfolio was the most important thing I did junior year."
STU2024003,Business,Employed Full-time,Finance,72000.0,JP Morgan Chase,"The career fair directly connected me with my employer. I strongly recommend the salary negotiation workshop to every senior."
STU2024004,Computer Science,Employed Full-time,Technology,105000.0,Meta,"Networking with alumni through LinkedIn was critical. I had coffee chats with ten people before my first interview."
STU2024005,Data Science,Employed Full-time,Technology,98000.0,Salesforce,"The data structures course prepared me well. I wish there had been more focus on system design earlier in the curriculum."
STU2024006,Mechanical Engineering,Employed Full-time,Manufacturing,78000.0,Boeing,"Co-op program gave me real-world experience that made me competitive. I had an offer before graduation."
STU2024007,Business,Graduate School,Education,,,"I chose grad school after struggling to find roles that matched my interests. The advising center helped me research MBA programs."
STU2024008,Mechanical Engineering,Employed Full-time,Manufacturing,82000.0,Lockheed Martin,"The senior capstone project directly impressed my interviewer. Practical engineering experience makes a huge difference."
STU2024009,Biology,Graduate School,Healthcare,,,"My research experience in the lab was critical for PhD admissions. I'm pursuing biomedical research at a top program."
STU2024010,Economics,Employed Full-time,Finance,68000.0,Goldman Sachs,"Internship during junior summer led directly to full-time role. The alumni network at financial firms is extremely active."
STU2024011,Psychology,Seeking Employment,Healthcare,,,I am still searching for the right clinical role. The job market for psychology graduates requires licensure which takes time.
STU2024012,Data Science,Employed Full-time,Technology,92000.0,Amazon,"Machine learning skills from the graduate-level elective gave me an edge. Kaggle competitions also helped build my portfolio."
STU2024013,Business,Employed Part-time,Consulting,45000.0,Deloitte,"I started part-time consulting while completing my CPA exam. The work-life balance in consulting is challenging but the mentorship is excellent."
STU2024014,Nursing,Employed Full-time,Healthcare,71000.0,Mayo Clinic,"The clinical rotations prepared me completely for the workforce. I had job offers from three hospital systems before graduation."
STU2024015,Electrical Engineering,Employed Full-time,Technology,96000.0,Intel,"My FPGA project in senior year caught the recruiter's attention during a technical interview. Hands-on coursework is critical."
STU2024025,Computer Science,Employed Full-time,Technology,110000.0,Apple,"Competitive programming experience was discussed in every interview I had. I recommend LeetCode practice starting freshman year."
STU2024031,Computer Science,Employed Full-time,Finance,115000.0,Citadel,"Fintech requires both strong programming and quantitative reasoning. Algorithmic trading interviews are more rigorous than typical software roles."
STU2024046,Mathematics,Employed Full-time,Finance,91000.0,Jane Street,"Mathematical rigor is taken to an extreme level in quantitative trading. Linear algebra and probability courses were the most valuable."
STU2024055,Mechanical Engineering,Employed Full-time,Government,74000.0,NASA Jet Propulsion Laboratory,"Working on space exploration is a childhood dream fulfilled. The university's aerospace engineering connections were crucial for this placement."
STU2024057,Electrical Engineering,Employed Full-time,Technology,98000.0,NVIDIA,"GPU architecture is the foundation of modern AI. Deep learning knowledge combined with hardware understanding is rare and valuable."
